iter	Passed	Remaining
402	8039	11908
403	8058	11887
404	8075	11864
405	8093	11841
406	8110	11816
407	8129	11795
408	8145	11770
409	8162	11745
410	8179	11722
411	8205	11710
412	8228	11694
413	8245	11670
414	8261	11646
415	8280	11624
416	8298	11602
417	8316	11579
418	8343	11569
419	8359	11543
420	8373	11516
421	8387	11488
422	8401	11460
423	8415	11432
424	8433	11409
425	8449	11385
426	8467	11362
427	8485	11339
428	8501	11316
429	8523	11298
430	8540	11274
431	8560	11254
432	8578	11233
433	8595	11209
434	8611	11185
435	8629	11163
436	8657	11153
437	8678	11134
438	8696	11113
439	8714	11091
440	8732	11069
441	8763	11063
442	8781	11041
443	8798	11018
444	8815	10995
445	8834	10973
446	8851	10950
447	8870	10929
448	8891	10910
449	8908	10888
450	8927	10867
451	8945	10845
452	8963	10823
453	8981	10801
454	8998	10778
455	9015	10755
456	9033	10733
457	9049	10709
458	9068	10688
459	9086	10666
460	9104	10644
461	9121	10621
462	9138	10598
463	9157	10578
464	9176	10557
465	9194	10536
466	9211	10513
467	9228	10490
468	9245	10467
469	9262	10445
470	9280	10423
471	9299	10402
472	9318	10382
473	9332	10356
474	9347	10331
475	9360	10304
476	9375	10279
477	9389	10254
478	9407	10232
479	9425	10210
480	9441	10187
481	9460	10166
482	9477	10144
483	9492	10120
484	9511	10099
485	9530	10079
486	9550	10059
487	9567	10038
488	9584	10016
489	9603	9995
490	9620	9972
491	9637	9951
492	9655	9930
493	9672	9907
494	9692	9888
495	9709	9865
496	9726	9843
497	9745	9823
498	9763	9802
499	9781	9781
500	9799	9760
501	9817	9739
502	9837	9720
503	9858	9701
504	9879	9684
505	9898	9663
506	9916	9642
507	9933	9620
508	9952	9601
509	9970	9579
510	9988	9558
511	10007	9538
512	10026	9518
513	10044	9497
514	10060	9474
515	10077	9452
516	10095	9431
517	10113	9410
518	10130	9388
519	10148	9367
520	10166	9346
521	10188	9329
522	10205	9308
523	10221	9285
524	10241	9265
525	10257	9243
526	10275	9222
527	10304	9211
528	10344	9210
529	10361	9188
530	10377	9165
531	10394	9143
532	10408	9119
533	10423	9095
534	10439	9073
535	10457	9052
536	10475	9031
537	10497	9014
538	10517	8995
539	10535	8974
540	10554	8954
541	10570	8931
542	10594	8916
543	10613	8896
544	10631	8875
545	10648	8854
546	10667	8834
547	10685	8813
548	10705	8794
549	10726	8776
550	10740	8751
551	10759	8732
552	10778	8712
553	10795	8690
554	10812	8669
555	10832	8650
556	10848	8628
557	10864	8605
558	10883	8586
559	10900	8564
560	10917	8543
561	10935	8522
562	10952	8501
563	10970	8480
564	10987	8459
565	11004	8437
566	11022	8417
567	11041	8397
568	11059	8377
569	11076	8356
570	11096	8336
571	11112	8315
572	11131	8295
573	11152	8277
574	11170	8256
575	11188	8236
576	11206	8215
577	11226	8196
578	11244	8176
579	11262	8155
580	11289	8141
581	11312	8124
582	11327	8101
583	11342	8079
584	11360	8059
585	11376	8037
586	11390	8014
587	11407	7993
588	11425	7972
589	11443	7952
590	11459	7930
591	11481	7913
592	11500	7893
593	11520	7874
594	11538	7853
595	11557	7834
596	11573	7812
597	11590	7791
598	11608	7771
599	11626	7751
600	11644	7730
601	11661	7709
602	11681	7690
603	11703	7673
604	11721	7653
605	11738	7632
606	11755	7610
607	11772	7589
608	11791	7570
609	11812	7552
610	11831	7532
611	11849	7512
612	11866	7491
613	11883	7471
614	11901	7450
615	11919	7430
616	11937	7409
617	11957	7391
618	11975	7370
619	11991	7349
620	12009	7329
621	12027	7309
622	12045	7289
623	12062	7268
624	12080	7248
625	12099	7228
626	12116	7208
627	12140	7191
628	12157	7171
629	12175	7150
630	12194	7131
631	12211	7110
632	12230	7090
633	12257	7076
634	12275	7055
635	12293	7036
636	12308	7014
637	12322	6991
638	12338	6970
639	12356	6950
640	12373	6929
641	12391	6909
642	12408	6889
643	12429	6870
644	12446	6850
645	12464	6830
646	12481	6809
647	12499	6789
648	12517	6769
649	12533	6748
650	12551	6728
651	12568	6708
652	12586	6688
653	12604	6668
654	12622	6648
655	12640	6628
656	12657	6608
657	12673	6587
658	12690	6566
659	12717	6551
660	12746	6537
661	12780	6525
662	12796	6504
663	12813	6484
664	12831	6464
665	12850	6444
666	12869	6424
667	12886	6404
668	12903	6384
669	12923	6365
670	12943	6346
671	12962	6326
672	12979	6306
